Amostra,Sensor,PredPadrao,PredLipschitz,ErroP,ErroL,NormaP,NormaL
0,25.0000,-3.8628,-3.8628,-28.8628,-28.8628,2.4783,1.8028
1,25.1300,44.5640,42.7831,19.4340,17.6531,2.4771,1.8011
2,25.2500,17.0557,12.0826,-8.1943,-13.1674,2.4775,1.8020
3,25.3800,28.5201,34.8526,3.1401,9.4726,2.4773,1.8012
4,25.5000,24.1119,18.4845,-1.3881,-7.0155,2.4774,1.8017
5,25.6300,26.0583,30.5860,0.4283,4.9560,2.4774,1.8013
6,25.7500,25.4584,22.0408,-0.2916,-3.7092,2.4774,1.8016
7,25.8800,25.8678,28.4370,-0.0122,2.5570,2.4774,1.8014
8,26.0000,25.8859,24.0328,-0.1141,-1.9672,2.4774,1.8016
9,26.1300,26.0464,27.4266,-0.0836,1.2966,2.4774,1.8014
10,26.2500,26.1647,25.1958,-0.0853,-1.0542,2.4774,1.8015
11,26.0000,26.2848,27.0163,0.2848,1.0163,2.4774,1.8015
12,37.0000,25.8741,25.2522,-11.1259,-11.7478,2.4780,1.8024
13,26.5000,41.8783,45.5105,15.3783,19.0105,2.4770,1.8015
14,26.6200,19.4610,18.7017,-7.1590,-7.9183,2.4773,1.8018
15,26.7500,29.8308,29.7616,3.0808,3.0116,2.4771,1.8016
16,26.8700,25.5131,25.6006,-1.3569,-1.2694,2.4772,1.8017
17,26.9000,27.4126,27.3530,0.5126,0.4530,2.4772,1.8017
18,9.0000,26.6925,26.7263,17.6925,17.7263,2.4763,1.8010
19,27.1100,1.4902,1.5567,-25.6198,-25.5533,2.4784,1.8025
20,27.2400,38.3028,37.7876,11.0628,10.5476,2.4777,1.8020
21,27.3000,22.3541,22.9826,-4.9459,-4.3174,2.4779,1.8022
22,6.0000,29.2332,28.9149,23.2332,22.9149,2.4767,1.8012
23,27.4800,-3.4941,-2.7767,-30.9741,-30.2567,2.4776,1.8019
24,27.6000,39.9758,38.9367,12.3758,11.3367,2.4768,1.8014
25,27.7200,22.3250,23.1046,-5.3950,-4.6154,2.4771,1.8016
26,27.8400,29.7462,29.4002,1.9062,1.5602,2.4770,1.8015
27,27.9600,27.1163,27.2680,-0.8437,-0.6920,2.4770,1.8015
28,28.0800,28.2776,28.2123,0.1976,0.1323,2.4770,1.8015
29,28.2000,28.0040,28.0309,-0.1960,-0.1691,2.4770,1.8015
30,28.3200,28.2729,28.2612,-0.0471,-0.0588,2.4770,1.8015
31,28.4400,28.3366,28.3409,-0.1034,-0.0991,2.4771,1.8015
32,28.5500,28.4779,28.4756,-0.0721,-0.0744,2.4771,1.8015
33,28.6700,28.5760,28.5765,-0.0940,-0.0935,2.4771,1.8015
34,28.7900,28.7046,28.7037,-0.0854,-0.0863,2.4771,1.8015
35,28.9000,28.8211,28.8209,-0.0789,-0.0791,2.4771,1.8015
36,29.0200,28.9286,28.9282,-0.0914,-0.0918,2.4771,1.8015
37,29.1300,29.0537,29.0531,-0.0763,-0.0769,2.4771,1.8016
38,29.2500,29.1576,29.1581,-0.0924,-0.0919,2.4771,1.8016
39,29.0000,29.2840,29.2843,0.2840,0.2843,2.4771,1.8015
40,36.0000,28.8867,28.8910,-7.1133,-7.1090,2.4774,1.8018
41,29.4700,38.8665,38.7228,9.3965,9.2528,2.4769,1.8014
42,29.5800,25.5624,25.8605,-4.0176,-3.7195,2.4771,1.8015
43,29.6900,31.2370,31.0148,1.5470,1.3248,2.4770,1.8015
44,29.8100,29.1023,29.2040,-0.7077,-0.6060,2.4770,1.8015
45,29.9100,30.0767,30.0311,0.1667,0.1211,2.4770,1.8015
46,30.0200,29.8454,29.8649,-0.1746,-0.1551,2.4770,1.8015
47,30.1300,30.0852,30.0763,-0.0448,-0.0537,2.4770,1.8015
48,30.2400,30.1459,30.1491,-0.0941,-0.0909,2.4770,1.8015
49,30.3400,30.2746,30.2727,-0.0654,-0.0673,2.4770,1.8015
50,30.4500,30.3636,30.3640,-0.0864,-0.0860,2.4770,1.8015
51,30.5600,30.4819,30.4810,-0.0781,-0.0790,2.4770,1.8015
52,30.0000,30.5885,30.5883,0.5885,0.5883,2.4770,1.8015
53,0.6600,29.7679,29.7796,29.1079,29.1196,2.4757,1.8005
54,30.7600,-10.5999,-10.0772,-41.3599,-40.8372,2.4766,1.8013
55,30.8600,46.5478,45.6736,15.6878,14.8136,2.4757,1.8006
56,30.9600,24.6036,25.2259,-6.3564,-5.7341,2.4760,1.8008
57,31.0600,33.2551,32.9834,2.1951,1.9234,2.4759,1.8007
58,31.1600,30.2582,30.3759,-0.9018,-0.7841,2.4759,1.8007
59,31.2600,31.4868,31.4375,0.2268,0.1775,2.4759,1.8007
60,31.3600,31.1764,31.1965,-0.1836,-0.1635,2.4759,1.8007
61,31.4600,31.4258,31.4175,-0.0342,-0.0425,2.4759,1.8007
62,31.5500,31.4715,31.4745,-0.0785,-0.0755,2.4759,1.8007
63,31.6400,31.5775,31.5762,-0.0625,-0.0638,2.4759,1.8007
64,31.7400,31.6619,31.6622,-0.0781,-0.0778,2.4759,1.8007
65,31.8300,31.7677,31.7672,-0.0623,-0.0628,2.4759,1.8007
